"teststat","gene","pFdr"
68.3715485896788,"ADA",9.56201513958536e-15
25.4431281429183,"AKT3",1.90158716512714e-06
7.32891411442993,"ACOT8",0.01160509707664
83.264177024578,"ALG3",1.89682731983793e-17
14.2628524822358,"ADAM10",0.000372692205767703
6.06676999267052,"B3GALT5",0.0224506383372557
13.5523765453719,"AGPAT1",0.000516795094960194
5.22035779065279,"AGPAT2",0.0348579791902628
27.3058389766592,"ADCY1",8.296254798042e-07
46.0456936910622,"AHCYL1",1.68477228372523e-10
9.53730066709621,"ADCY2",0.00365749137155093
37.6412131286619,"ADCY3",7.54585474174487e-09
112.880157074743,"ADCY5",1.71592135256999e-22
109.37467004811,"ADCY6",4.90546063540537e-22
90.4839606787757,"ADCY7",9.2005923363283e-19
128.37945929631,"ADCY9",3.46920137571407e-25
86.6631080587294,"ACSM1",4.54859260430426e-18
48.2660149644783,"AK7",6.37231998597875e-11
27.2329128882602,"ADSS1",8.48719327012665e-07
18.5339723522068,"ADH1A",4.84598351725763e-05
21.9138438013671,"ADH1B",1.00172466510968e-05
27.2002548878374,"AFMID",8.51391005397251e-07
17.9854409652107,"ADH1C",6.27793641604198e-05
60.992809029284,"ACMSD",2.28752641067353e-13
12.6279038641212,"ADORA1",0.000810109759008607
6.94031022308542,"ACOT12",0.0140903475335142
110.803012582804,"ADORA2B",3.22135940992407e-22
7.12362814771614,"ADORA3",0.012904753445902
57.6145805047877,"AMDHD1",9.52809198700056e-13
28.6411408484552,"ALG10B",4.81818046525283e-07
29.0761665665823,"ADRA1D",4.01293806717271e-07
13.666100390517,"AANAT",0.000495165212057796
112.285796586166,"ADRA2A",1.95113851159262e-22
31.8342275770412,"ADRA2B",1.13385614633662e-07
22.7601134865099,"ADRA2C",6.6389620482007e-06
24.4608887355495,"ADRB2",2.98376351700003e-06
81.2121917331304,"ADSL",4.06557821171187e-17
26.6049330245189,"AKR1C1",1.09873577172169e-06
20.1600934050445,"AGER",2.24139786302697e-05
16.094180201498,"AGL",0.000151644610330504
269.249433817879,"ABAT",1.23651514877847e-46
6.26569261326005,"AGRP",0.0202188339071365
99.2562094089174,"AGTR1",2.42944712904593e-20
4.9917952275925,"AGTR2",0.0387629298611015
5.31641124191319,"AHCY",0.0332092324404317
11.0993228720572,"ADCY4",0.00167615283266755
20.7734481091095,"ALG14",1.68114678573696e-05
10.0122448106337,"AK1",0.00287826891681363
7.47373165333394,"AK2",0.0107913052171728
105.289902064039,"ALAD",2.16383374640105e-21
12.5230452258691,"ALDH3A1",0.000842549736588878
13.5850077143909,"ACSL1",0.000512246557092649
13.3359302788512,"ACSL3",0.000573666061062324
21.7193575083843,"ALDH1B1",1.08674287190835e-05
77.0572697173659,"ALDH1A3",2.24005033113054e-16
30.9173105992622,"ALDH3B2",1.74126096501101e-07
70.123979599829,"ALDH3A2",4.51761899311735e-15
43.0840945552743,"ALDOA",6.25082803351391e-10
12.0166333877174,"ALDOC",0.00104979434049365
57.5708154453879,"AKR1B1",9.52809198700056e-13
12.2667445136,"ACSBG1",0.000941658668520053
41.358355457089,"ACSL6",1.33488093973003e-09
29.3062035644995,"AMACR",3.6415541671919e-07
27.5443860020307,"ALOX12",7.68247525401316e-07
179.599217556717,"ATP6V1C2",2.82623078419265e-33
12.3040956407476,"ALOX15B",0.000930427425095095
16.238215369176,"ALPI",0.000142112977017893
16.3310151607369,"ALPL",0.000136733892345446
27.3504903495628,"ALPP",8.22449963592834e-07
23.9990630984857,"ALPG",3.70863795114524e-06
173.507830946885,"AMD1",1.38734370339662e-32
14.3123618895726,"AK5",0.000366353924741194
17.0902030658375,"AMHR2",9.71350502833159e-05
20.1689926493445,"ABL2",2.24139786302697e-05
10.6762859849627,"AMPD1",0.00205164808774471
27.1343683646557,"AMPD2",8.68276540062118e-07
11.0165012603356,"AMT",0.00172653432215955
81.4137871492152,"AMY2A",3.88433206876538e-17
41.8160605155591,"AMY2B",1.09508521090662e-09
46.8014023033865,"ANGPT1",1.2082916532706e-10
26.3772237196335,"ALG5",1.21411930897722e-06
24.599910854483,"ALG6",2.81792722723849e-06
28.2554631269372,"ACAA1",5.63517444936845e-07
21.2510146162735,"AOX1",1.35123486657542e-05
4.7805706458712,"APAF1",0.0432385864296764
42.9674388669844,"ACACB",6.47757098434543e-10
58.287637995118,"APC",7.22688884408871e-13
5.15521366274346,"ACSM2B",0.0357371123877458
40.8243824855187,"ACADS",1.68808410251852e-09
28.7511699880331,"AREG",4.63382499035366e-07
13.2190134095013,"ACAT1",0.000604785200630818
5.16653686767502,"ARF6",0.0357237467347404
61.4652841017626,"ARG2",1.90001012410874e-13
12.5671037206833,"ARHGDIB",0.000829761759814625
66.6076539900703,"ARRB1",1.97815084627545e-14
21.7074668625905,"ARRB2",1.08674287190835e-05
5.13824590072318,"ARSA",0.0358671024767319
106.836146956375,"ASAH1",1.21316000079669e-21
70.9299946417778,"ALDH6A1",3.26573684590523e-15
33.5448099632627,"ASL",5.12332745775121e-08
150.26884815325,"ASNS",8.19948168808242e-29
28.2330349333405,"ALG11",5.63517444936845e-07
47.1311124220073,"ASPA",1.05860591319815e-10
99.7220901613678,"ASS1",2.1190324947214e-20
58.863577438078,"ATF4",5.7058982432987e-13
11.0159774714119,"ATIC",0.00172653432215955
18.3636946661916,"ATM",5.23179779825147e-05
55.6855526241585,"ATP1A1",2.20597998549855e-12
80.1704637771641,"ATP1A2",6.15848614976492e-17
35.1493342154607,"ATP1A3",2.4478227303888e-08
19.0219399764358,"ATP1A4",3.82297812892731e-05
68.2049441966017,"ATP1B3",9.97071929221369e-15
26.8277967397225,"ATP2A1",9.96919747720595e-07
16.4277729664263,"ATP2A3",0.000131305719416399
16.7524718791265,"ATP2B1",0.000113277699900852
19.5719223863363,"ATP2B2",2.98386633283269e-05
9.81807428108579,"ACOX1",0.00316995165099531
49.2919150482933,"AMDHD2",4.04276739060085e-11
29.6326502490226,"ADIPOR1",3.15364919470753e-07
178.309916930278,"AADAT",3.0503094260271e-33
31.8816253647785,"ATP6V1D",1.1265587271477e-07
28.521519008722,"ATP6V1H",5.03462294792995e-07
19.3966817302351,"ACSL5",3.22706960408241e-05
5.97755174069816,"ATP6V1B1",0.0234512891125349
12.1674953021075,"ATP6V1C1",0.00097718771823264
10.0358531179478,"ATP6V1E1",0.00286232786591409
59.6193199471163,"ATP6V1G2",4.15487767134758e-13
11.7110676291084,"A4GALT",0.00122340594560494
12.1902254947611,"ATR",0.000972830964026707
5.33732657866711,"AVP",0.0330210282907256
54.8582087343331,"ADI1",3.14991898303222e-12
19.1790269318122,"AGPAT5",3.56624275145156e-05
13.887133514933,"AGK",0.000446496560185261
13.1180790465805,"ACSS2",0.000632377751014156
82.0213602978037,"AGPAT4",3.1139274955288e-17
30.1683410937607,"AKR1B10",2.46730768274515e-07
15.6620991357471,"ALDH18A1",0.000187596025288209
16.8601677192046,"ACTB",0.000108212805906811
16.4738937899219,"ACSM3",0.000129412166754904
44.7261297990902,"AZI2",3.06484472020214e-10
14.8659672372149,"AGXT2",0.00027766689078288
12.500938597034,"AACS",0.000845832053753064
110.594460554087,"ADAM17",3.22135940992407e-22
15.2869965036721,"ALG8",0.000225495699299936
21.0769758129773,"ADIPOR2",1.45888463105264e-05
27.8403054802769,"AGMAT",6.73650565667054e-07
6.50458051168506,"ACSBG2",0.0178166496346806
140.418915749193,"ACOX2",3.28228726211643e-27
43.5032261211318,"ACOX3",5.23228747907174e-10
78.3016055124027,"AXIN2",1.3450517983077e-16
107.741152960555,"APH1B",8.9498888740752e-22
17.222979766857,"ACSS1",9.16376885784316e-05
4.78354575612494,"ALG10",0.0432385864296764
8.23265229256824,"ALG2",0.0071851150037744
27.3652062214046,"AOC3",8.22449963592834e-07
5.86081778816526,"AKR1C3",0.0248809816110294
24.9989132140926,"ALDH4A1",2.34038998902591e-06
8.58908737564373,"B3GALT4",0.0059647467372998
91.0010672802301,"ATP6V1E2",7.77534603240598e-19
9.34407273410411,"ATG12",0.00402833225081162
23.4232249999353,"ACVR2A",4.88080206270966e-06
7.09774277400429,"ATP6V1F",0.0130042856102893
5.74189452292811,"ACVR2B",0.0264352872883072
23.0525411121976,"ADIPOQ",5.80347441121827e-06
9.30744022800153,"ATG5",0.00408025751371667
43.7381336402948,"ACY1",4.77955530302918e-10
63.5239836081405,"ATP6V1G1",7.70255715558332e-14
13.8815382718112,"ACYP1",0.000446496560185261
34.6057147645838,"ACYP2",3.12482894219317e-08
